Region,System,Type,Price,On demand,Offering class
ap-northeast-1,Linux/UNIX,g3s.xlarge,0.7020000000000001,1.04,standard
us-east-2,Linux/UNIX,h1.4xlarge,0.52,0.936,convertible
us-east-2,Linux/UNIX,h1.4xlarge,0.45199999999999996,0.936,standard
us-east-2,Linux/UNIX,m5n.xlarge,0.10500000000000001,0.238,convertible
us-east-2,Linux/UNIX,m5n.xlarge,0.09199999999999998,0.238,standard
us-east-2,Linux/UNIX,m5dn.large,0.061,0.136,convertible
us-east-2,Linux/UNIX,m5dn.large,0.053,0.136,standard
us-east-2,Linux/UNIX,t3a.small,0.0094,0.0188,convertible
us-east-2,Linux/UNIX,t3a.small,0.0081,0.0188,standard
us-east-2,Linux/UNIX,i3en.6xlarge,1.3590000000000002,2.712,convertible
us-east-2,Linux/UNIX,a1.metal,0.203,0.408,convertible
us-east-2,Linux/UNIX,m5n.8xlarge,0.8430000000000001,1.904,convertible
us-east-2,Linux/UNIX,m5n.8xlarge,0.734,1.904,standard
us-east-2,Linux/UNIX,r5d.xlarge,0.124,0.288,standard
us-east-2,Linux/UNIX,r5d.xlarge,0.148,0.288,convertible
us-east-2,Linux/UNIX,r6g.12xlarge,1.2533,2.4192,convertible
us-east-2,Linux/UNIX,r6g.12xlarge,1.0451,2.4192,standard
us-east-2,Linux/UNIX,r5n.xlarge,0.139,0.298,convertible
us-east-2,Linux/UNIX,r5n.xlarge,0.12100000000000001,0.298,standard
us-east-2,Linux/UNIX,a1.metal,0.176,0.408,standard
us-east-2,Linux/UNIX,i3en.6xlarge,1.18,2.712,standard
us-east-2,Linux/UNIX,m5a.2xlarge,0.149,0.344,standard
us-east-2,Linux/UNIX,m5a.2xlarge,0.17400000000000002,0.344,convertible
us-east-2,Linux/UNIX,i3en.metal,4.72,10.848,standard
us-east-2,Linux/UNIX,x1.16xlarge,2.4650000000000003,6.669,convertible
us-east-2,Linux/UNIX,x1.16xlarge,2.1439999999999997,6.669,standard
us-east-2,Linux/UNIX,r5a.12xlarge,1.172,2.712,standard
us-east-2,Linux/UNIX,r5a.12xlarge,1.4150000000000003,2.712,convertible
us-east-2,Linux/UNIX,i3.metal,2.7819999999999996,4.992,convertible
us-east-2,Linux/UNIX,i3.metal,2.4189999999999996,4.992,standard
us-east-2,Linux/UNIX,m4.16xlarge,1.3824,3.2,standard
us-east-2,Linux/UNIX,m4.16xlarge,1.5898,3.2,convertible
us-east-2,Linux/UNIX,i3.8xlarge,1.3909999999999998,2.496,convertible
us-east-2,Linux/UNIX,i3.8xlarge,1.21,2.496,standard
us-east-2,Linux/UNIX,i3en.large,0.11299999999999999,0.226,convertible
us-east-2,Linux/UNIX,i3en.large,0.098,0.226,standard
us-east-2,Linux/UNIX,r5n.large,0.06,0.149,standard
us-east-2,Linux/UNIX,r5n.large,0.07,0.149,convertible
us-east-2,Linux/UNIX,c5.xlarge,0.08100000000000002,0.17,convertible
us-east-2,Linux/UNIX,c5.xlarge,0.07,0.17,standard
us-east-2,Linux/UNIX,r5d.large,0.062,0.144,standard
us-east-2,Linux/UNIX,r5d.large,0.074,0.144,convertible
us-east-2,Linux/UNIX,m5a.large,0.037,0.086,standard
us-east-2,Linux/UNIX,i3en.metal,5.438,10.848,convertible
us-east-2,Linux/UNIX,m5a.large,0.043,0.086,convertible
us-east-2,Linux/UNIX,c5.18xlarge,1.268,3.06,standard
us-east-2,Linux/UNIX,i3en.24xlarge,4.72,10.848,standard
us-east-2,Linux/UNIX,m5a.16xlarge,1.3909999999999998,2.752,convertible
us-east-2,Linux/UNIX,m5a.16xlarge,1.189,2.752,standard
us-east-2,Linux/UNIX,r5n.12xlarge,1.668,3.576,convertible
us-east-2,Linux/UNIX,r5n.12xlarge,1.4480000000000002,3.576,standard
us-east-2,Linux/UNIX,r4.4xlarge,0.4579,1.064,standard
us-east-2,Linux/UNIX,r4.4xlarge,0.5266000000000001,1.064,convertible
us-east-2,Linux/UNIX,t2.nano,0.0029000000000000002,0.0058,convertible
us-east-2,Linux/UNIX,i3en.24xlarge,5.438,10.848,convertible
us-east-2,Linux/UNIX,t2.nano,0.0025,0.0058,standard
us-east-2,Linux/UNIX,m5ad.4xlarge,0.35600000000000004,0.824,standard
us-east-2,Linux/UNIX,m5n.12xlarge,1.2650000000000001,2.856,convertible
us-east-2,Linux/UNIX,m5n.12xlarge,1.101,2.856,standard
us-east-2,Linux/UNIX,g3.16xlarge,2.324,4.56,standard
us-east-2,Linux/UNIX,g3.16xlarge,2.6727,4.56,convertible
us-east-2,Linux/UNIX,c5a.16xlarge,1.19,2.464,convertible
us-east-2,Linux/UNIX,c5a.16xlarge,1.064,2.464,standard
us-east-2,Linux/UNIX,c5n.9xlarge,0.706,1.944,standard
us-east-2,Linux/UNIX,m5ad.4xlarge,0.416,0.824,convertible
us-east-2,Linux/UNIX,r5.4xlarge,0.526,1.008,convertible
us-east-2,Linux/UNIX,r5.4xlarge,0.43500000000000005,1.008,standard
us-east-2,Linux/UNIX,r5dn.large,0.068,0.167,standard
us-east-2,Linux/UNIX,r5d.24xlarge,2.986,6.912,standard
us-east-2,Linux/UNIX,r5d.24xlarge,3.559,6.912,convertible
us-east-2,Linux/UNIX,r5.metal,3.1550000000000002,6.048,convertible
us-east-2,Linux/UNIX,r5.metal,2.613,6.048,standard
us-east-2,Linux/UNIX,m5n.4xlarge,0.367,0.952,standard
us-east-2,Linux/UNIX,m5n.4xlarge,0.422,0.952,convertible
us-east-2,Linux/UNIX,r6g.xlarge,0.1044,0.2016,convertible
us-east-2,Linux/UNIX,r6g.xlarge,0.0871,0.2016,standard
us-east-2,Linux/UNIX,m5dn.16xlarge,1.946,4.352,convertible
us-east-2,Linux/UNIX,m5dn.16xlarge,1.6920000000000002,4.352,standard
us-east-2,Linux/UNIX,c5d.metal,2.225,4.608,convertible
us-east-2,Linux/UNIX,c5d.metal,1.9349999999999998,4.608,standard
us-east-2,Linux/UNIX,g3s.xlarge,0.437,0.75,standard
us-east-2,Linux/UNIX,g3s.xlarge,0.503,0.75,convertible
us-east-2,Linux/UNIX,m5d.24xlarge,2.7300000000000004,5.424,convertible
us-east-2,Linux/UNIX,m5d.24xlarge,2.343,5.424,standard
us-east-2,Linux/UNIX,c5a.large,0.033,0.077,standard
us-east-2,Linux/UNIX,c5a.large,0.037,0.077,convertible
us-east-2,Linux/UNIX,r5dn.large,0.078,0.167,convertible
us-east-2,Linux/UNIX,c5.18xlarge,1.4589999999999999,3.06,convertible
us-east-2,Linux/UNIX,c5n.9xlarge,0.813,1.944,convertible
us-east-2,Linux/UNIX,m5dn.24xlarge,2.538,6.528,standard
us-east-2,Linux/UNIX,c5n.2xlarge,0.18100000000000002,0.432,convertible
eu-central-1,Linux/UNIX,r5d.metal,3.5870000000000006,8.304,standard
eu-central-1,Linux/UNIX,c5.18xlarge,1.509,3.492,standard
eu-central-1,Linux/UNIX,c5.18xlarge,1.992,3.492,convertible
eu-central-1,Linux/UNIX,m5dn.2xlarge,0.347,0.648,convertible
eu-central-1,Linux/UNIX,m5dn.2xlarge,0.28,0.648,standard
eu-central-1,Linux/UNIX,z1d.metal,2.623,5.4,convertible
eu-central-1,Linux/UNIX,z1d.metal,2.281,5.4,standard
eu-central-1,Linux/UNIX,r4.xlarge,0.15899999999999997,0.3201,convertible
eu-central-1,Linux/UNIX,r5d.metal,4.3580000000000005,8.304,convertible
eu-central-1,Linux/UNIX,r4.xlarge,0.1382,0.3201,standard
eu-central-1,Linux/UNIX,r5.large,0.079,0.152,convertible
eu-central-1,Linux/UNIX,m5n.12xlarge,1.787,3.384,convertible
eu-central-1,Linux/UNIX,m5n.12xlarge,1.462,3.384,standard
eu-central-1,Linux/UNIX,m5dn.8xlarge,1.12,2.592,standard
eu-central-1,Linux/UNIX,m5dn.8xlarge,1.388,2.592,convertible
eu-central-1,Linux/UNIX,p3.2xlarge,1.414,3.823,standard
eu-central-1,Linux/UNIX,p3.2xlarge,2.242,3.823,convertible
